"Text","Author","Likes"
"I think all the comments section is pretty nice, no one is believing blindly these ""technological utopia"". And also I think is important to clarify how, by sequencing of human genome, biologist understood how little they understand genomes. And the more information we have, the more we know there are many things we don''t understand and don''t know. CRISPR is, with reason, only used in laboratory.","@matiasramirezn520","162"
"The most important thing that should be on everyone mind currently should be to invest in different sources of income that doesn''t depend on the government. pretty much how i made my first million. Especially with the current economic crisis around the word. This is still a good time to invest in various stocks gold, silver and digital currencies.I am grateful to be informed by my ever able advisor","@stanleyfujiwara1394","156"
"I''m 52, and I always say, we were the last generation that was able to really bridge the gap between the analog era and the digital era. My parents, like many, were left behind. I feel privileged to have been able to experiance both casette tapes and the iPod in one lifetime. To the future!","@thedarksurfer.","137"
"There is nothing scarier than the idea of global governance.","@McInerneyEoin","112"
"I wish I could have that 15 min back.","@logangeorgej","112"
"8:00 ""...Americans, who had this wide open continent to spread into."" I won''t make any assumptions about this person''s knowledge or intent, but this is a dangerous way to frame that period of time. The continent wasn''t empty, waiting for ''Americans'' to take it. It was and already had been home to millions of people which we displaced, usually violently and cruely. This is not meant to be an attack on the speaker or channel, just highlighting a common misconception which is dangerous because it erases the horrendous acts that occurred during that period.","@sapling_parajito","103"
"Yes, it''s a turning point. I do not share the optimism about the changes expected in the future laid out at the end. The extreme leverage the powerfull have today will only become stronger. The world where multilateralism has some relevance is waning.","@shininio","101"
"Looking forward to departing before Global Governance.","@FilmWrap2000","97"
"People act like all this AI and “clean tech” means we’ve reinvented the wheel, but really we’ve just changed the power source. We’re still deeply dependent on resource extraction — just different materials like lithium, nickel, and rare earths instead of oil and gas. And as everything goes electric, we’re basically plugging humanity into an outlet 24/7. The tech might be cleaner at the point of use, but the system behind it still has a massive environmental footprint. Real progress means reducing total dependency, not just switching what we’re dependent on.","@ShroomJesus","79"
"00:19 i hate when people especially in videos like this and movies, focus on only america like america is the only country to exist in the world, a lot of americans do this and i feel like its how you guys are raised by school and the system BUT its like these are turning points for everyone in the world lol, america has only existed for 300 years and is literally made from the english spanish and africa (obvs not including the smaller groups like italians, asians, russians, irish, etc) that all moved there since its literally built from most other countries but yh, pet peeve over","@slowlywins","69"
"I switched my display to ultrawide and now I can finally see all the extra disappointment in 15 minutes.","@CHKDG8","65"
"I need to ask my local cinema If they have a big enough screen to watch this. One sec","@goofymcadams","65"
"What is fascinating about this video is that by looking at the past we can ''see'' the future, but here is the thing - the world is moving exponentially, faster than ever before and the truth is we can''t keep up with it.","@raykleiner3151","61"
"He conveniently glossed over how corporations in America used the Republican Party to put an end to the post-war boom era by deregulation, slashing programs that helped the needy, giving tax breaks to the wealthy and giving corporations/billionaires much more political power.   We are still living in the oligarchy hellscape they created as a result.","@deltaroo420","60"
"There are several parallel systems already in place both internationally and domestically to replace all the current American systems. People with power in the current systems are just trying to set it up so THEY land on their feet in the new system. That is what is really going on.","@greorbowlfinder7078","59"
"The video ending on the subject of ""Global Governance"" followed by the freethink* logo is too perfect.","@D3adP00I","51"
"The transition will be from employed to unemployed. It will be brutal and bloody!","@binmanblog","49"
"Every year ever has been the most pivotal year.","@a4ewald","46"
"The absolute manifestation of idealism as a person. I didn’t see a single point bringing up the implications of such sudden change","@XiAnais-bt9ke","42"
"To believe the genome holds the key to life is to mistake a library for the librarian and the readers. Understanding DNA alone won’t cure disease until we grasp how its words are read, edited and performed in the cellular environment and more broadly by the body.","@fburton8","38"
"I think the future depends upon not only new technology but how we are going to use this tech breakthrough for social and personal growth of humanity. How we can improve educational, healthcare, policy and economy system in the new technological environment?","@mulen-x8u","33"
"I do like this framing “out with the old, in with the new” as curves instead of as a dichotomy.","@HollyOly","31"
"This analysis doesn''t take into account that it was a parasitic system that we can no longer maintain and that there were centers of power spread across the world. Both of these factors lead to a (mentioned) world government that would have given even Orwell severe heartburn—to say the least. Now we have a massive oversupply of human labor that is useless for the 1%. WE ARE F*CKED!","@OlliR1602","31"
"10:16 it makes me sad that people bever think about the human cost in the 3rd world countries that have to mine the minerals that create these technologies and “innovations” and even the communities in our own that are subject to water pollution due to the energy demands of AI. We truly will never learn","@kibayi","30"
"My widescreen monitor really appreciated displaying this video.","@0xSetaro","26"
"The thing that scares me is not AI, etc rather the ‘Global Governance’ bit at 14:16","@dermotcorcoran3181","20"
"As someone who has watched youtube on my 21:9 monitor for a few years, i am in awe that this video is wider than my widescreen.   I never thought id see the day","@urjika9001","18"
"One thing you may have over looked that will provide the arrow of fundamental change in ""our"" world is the coming environmental change. To prepare the groundwork for that ""different way of thinking"" is for everyone, especially the young to reconnect with the natural world so ""our world"" reflect an ecology of mind representing a major paradigm shift. We can not forget our roots--we are a biological and ecological species.","@rssemmens1","11"
"Global governance assumes we would all want to be together, but that''s never happened in history.","@lraoux","7"
"What an optimist. Totally negating the negative aspect of any of those 3 techs. It''s not clean. It''s not a cow. It''s not intelligent.","@tubeorip","5"
"My grandpa was born in 1902, when airplanes were just INVENTED, and my dad was born he day the first man entered SPACE. I am alive for AI! Wow.","@sherriffandrew","5"
"I think there’s a strong point to make, that this current boom we are in is a “post-covid” boom. We might not see it now, but looking back on historically, it lines up perfectly. Society fell into a tech rhythm, fueled by isolationism driven by covid.  Covid was the only worldwide event to genuinely change all of humanities lives since World War II.","@grantsherman2001","3"
"I can''t say for anything else, but the age of American centralism this guy was clearly born into is slowly coming to an end","@BboyFever","1"
"The clickbait: ""THE MOST PIVOTAL THING YOU WILL EVER SEE, THIS IS THE MOST IMPORTANT THING TO EVER HAPPEN IN THE UNIVERSE""  The content: Literally just shlt you already know","@edgecase96","1"
"The reason you are listening to this is to concentrate.. That shows your dedication and desire to improve... Congratulations everyone.. Stay motivated.. If you make a start..you are halfway done.. Dont give up..","@WealthRewind-usa",""
"Things (and life) will get worse for most people before they get better. The question is how fast and how bad.","@fburton8","138"
"He forgets the control that companies have over our government.  Politics and they people that play those games are intertwined.  Let''s not forget, it is companies that own AI.","@BoerBoel-ox1tv","60"
"Back in 1970 I had a paper route, two actually. I had just finished delivering my papers one day, and went into my hang-out pizza place to play a few games of pinball before heading home for dinner. I walked in and saw a couple of kids in front of a black and white TV screen. I walked over and saw that they were playing a computer game. It was called Pong. I still clearly remember the thought in my head at that time. ""The world has changed. My world has changed."" I built my first gaming computer, before the term gaming computers began to be used, back when Windows 95 was a new operating system. From where I am sitting, as I play around with Gemini 2.5, the world is about to change, in ways we cannot even conceive. Buckle up!","@Graybeard_","20"
"He said solar energy doesn’t require mining materials, it’s purely a technology, except solar panels do require mining of raw materials, same with the lithium batteries the guy mentioned. This guy sounds like an evangelist for transhumanism and globalism, a more positive version of Yuval Harare","@camfella647","17"
"Its fascinating to me how these innovations really come in waves, youll have decades of medical innovations that look promising but go nowhere, and suddently someone invets something totally unrelated, and its like humanities collective innovation drive activates and all the promising things that went nowhere get fully developed.  All the 200 alternatives to plastic, or better batteries, or cures to cancer that we keep finding but are rarely implemented, and now suddently its like we decide to do it all at once.","@aguspuig6615","2"
"2025 and 2026 is Pivotal for only 3 reasons.... Technology, Power and Authoritarianism","@jimmyispromo","2"
"Congratulations, you just described what has already been laid out in the 4th turning","@-MakeItGood-","1"
"The beauty and the terror of it is that not a single person has any idea what our future will look like. The amount of complexity this technological progress creates is just immeasurable, our current societal frameworks have no chance in withstanding this speed. It''s like strapping a rocket engine to a car frame and hoping it holds together.","@purestfreedom",""
"Corpo blaber. Remember how cheap uber was at launch? Try it now - that''s a boom strategy to push amenities to our throats BEFORE they gonna hit for the money.","@SirVakari","29"
"Just jump to 9:00","@powerful_people-p7o","29"
"""This changes everything"" - most incorrectly used phrase of the last 10 years.","@SyddG","26"
"Dude I dunno, the way I see things is this: we''re getting absolutely screwed. No one wants AI to take all these jobs. People enjoy writing, people enjoy creating things.","@misterbrickest","20"
"“In the old south we basically had slavery.”","@o_0malik","13"
"4:33 Tax the rich at 90% - Sorry, What?","@patrickoconnor5494","10"
"Unsurprisingly, every year someone says the same thing. People always imagine that right now is the most revolutionary change happening.","@mmikael281","6"
"6:23 the homestead act that you describe as growth was genocidal ethnic cleansing (as most settler colonialism is). The changes look good to the victors. And the next victors might be AI. So best explain that the tipping point can fall to the left or the right. For example Roosevelt built that infrastructure by taxing the robber barons of the ""wonderful"" gilded age by 90%. You think it couldn''t have gone the other way?","@kimcosmos","1"
"WoW, I have lived to see a YT video fully supporting widescreen display and 1440p without silly black bars. Liked and Subscribed for that alone","@hakunamatata324",""
"Basically had slavery???? No it was slavery.","@khaliqc1151","79"
"9:54 Oh yes you have to dig it up.  Solar cells are made of silver, and that doesn''t come from thin air.  Same for lithium etc.","@dansw0rkshop","64"
"Humans have not become happier as technologies advanced, I don''t get his enthusiasm","@watmosphere","35"
"Great video. I have been having these discussions for over twenty years. I got my first computer in 1985. Watched war games and told my mum - one day all computers will be linked and I can have friends all over the world. I became a web designer in 1994 and was a web developer for over twenty years. I have experienced and contributed to the bubbles. This feels different. The technology has met the globalists agenda. This is it people - buckle up. I am a 53 year old creative and since the inception of OpenAi and generative AI, and painfully watched it develop into a creativity devouring behemoth. But as the fears of 1994 were it would be the end of printing, the current fears that it will end human creativity, is unfounded. It has a place as a tool to release the ideas faster. It’s a wonderful testing tool for all that you wish. For the older generation, we either embrace it, and find a place for it in our lives and stop reacting in fear or it devours us too. I wish every fellow human luck in their new world. This narrative trope is new, but the powers intentions and technology are different. Peace and love my fleshy biological friends.","@MoreMooseMeat",""
"Don''t count on global governance. It proved to be corrupt and self-serving during COVID and wars and people noticed.","@puestadelsol2020","52"
"How to show that you know nothing about LLMs, genome sequencing and ""clean"" energy without explicitly saying it.","@thibaultabry5502","45"
"I want the 15 minutes of my life back.","@memyselfandI90001","43"
"All that ''abundant clean energy'', thaaaat, the corporations will still charge exorbitant prices for. Gotta keep the proles down.","@bretebey","26"
"Pave the way to the future with one kindness at a time.","@dercas79","5"
"Politicians and prognosticators have been saying this exact thing millennia again and again from a relative point of speaking it’s always going to be this moment, isn’t it?","@DurokSubaka","4"
"As a general gen z guy I will push the future of tech and do my best to both push us (humanity) forward and learn from the older generations mistakes so I can make tomorrow better than you can imagine","@nicholi6750",""
"Too optimistic chill bro Reality will be high tech low life dystopian cyberpunk where You WILL own nothing and You WILL be happy Its over","@mentalhaxx","46"
"I can predict the future. We will have war, lots of people die and a lot of wealth is redistributed. Rebuilding produces new technologies, ideas and systems. Rinse and repeat at around ~80-100  year cycle.v","@ex1tium","45"
"6:19 - Not exactly ""anybody.""","@christophermanley3602","12"
"I wonder what freedom looks like in a world that''s so dependent on technology we don''t own.","@matthewdalton","1"
"The feeling, the quality and the soundtrack used in this video is a spectacle.","@HullMiDik",""
"This dude''s predictions are whack. No mention of Oligarchs mining personal data and forcing everyone onto ""everything apps"" where if you don''t have it you''re basically not able to participate in society. Just whitewashed the whole thing.","@squintsyadams8463","183"
"10:30 you do have to dig up the materials for solar panels. ️️","@I_OptimusPrime","85"
"You missed Bitcoin. Separating money from the state has huge implications.","@peeknic","8"
"""From the moment I understood the weakness of my flesh, it disgusted me.""","@Venim85","1"
"This is pretty neat. I have been nerd-splaining to my friends about how the AI bubble we''re in is just like the industrial revolution and our life in 100 years will be completely unrecognizable. Its like when factories first opened and we needed regulations so people weren''t dying on production lines...","@spagooterman",""
"I’m unexpectedly optimistic now about the potential economic future of the US just off this video  The more I think and put trends together, as an Urban Planner, I foresee how close the United States is close to an economic collapse. For instance, I just remembered we’ve been in a government shut down for 3 weeks now and most of my peers don’t even realize it. We’re in unprecedented times that are not normal and it is clear the rules of our current social & economic contract are about to change, hopefully for the good, but could be really ugly if the United States doesn’t act as a unified force. I pray the Federal Government and everybody in our country can stop pointing their fingers at the other party and blaming it all on people with opposite beliefs and I pray my generation can help rebuild this country and ride this next innovation wave before our country collapses into chaos","@daltonkaiser4224","12"
"i’m opposite of excited","@benkalore","7"
"9:11 ""that once cross that threshold you don''t go back"" uhhh sir, we''ve  had like two bronze ages, the decline of the Roman Empire, mongols existed, and who knows what other setbacks/lost knowledge humanity has had... kinda hard to remember the things you''ve forgotten","@ronisamurp","5"
"This is a phenomenally educational and illustrative. It shows how an individual’s recall of his own lived experience is warped by the overemphasis of successful predictions: Amazon will change commerce, Google will change advertising, Wikipedia will change libraries. And the unintentional concealment of the missed predictions of those same times. This is why, in my opinion, Peter is so clearly wrong about generative ai.","@ewetyube",""
"Yep. Looks like the biggest resistance is from Fossil Fuel industry. They are really fighting back with disinformation campaigns, political meddling. Really dirty money.","@unxusr","21"
"Saying we ""basically had slavery"" when the country literally had slavery is completely minimizing the impact of slavery.   Video is informative but you should really consider researching more on the topic of slavery and it''s impact on 13% of America.","@walterkimble6373","10"
"That''s also extraordinary is the aspect ratio of this video.","@aborne","7"
"I see a lot of people clinging passionately to the old systems in these comments! They''re acting as if it''ll be the end of the world, JUST LIKE people did 80 years ago, and 80 years before that. Amazing that you can explain phenomenon to people who will still just as blindly be affected by it.","@jacobkain4721",""
"Black people were killed and had their land stolen during the homestead act. He is just glazing history","@TheIshvalanHero","82"
"This guy is so optimistic that it''s sad. It won''t be a digital democracy. It will be digital tyranny. You won''t be free to think a single unapproved thought.","@user-wb4ty2ye7s","7"
"This must be the reason this year is so tough....I pray I come out better and much more prosperous than ever..Om","@sourishsaha8067","5"
"This video is so well made, the transition, the colour, the graphics, the fonts, the music everything is on spot","@pritz996",""
"10:55 come on where do you get the materials to get that ''clean energy'' you dig you process you manufacture.......","@sisix-05","10"
"Advancement in technology(such as social media,now the chatbox Ai), does not mean an advancement to human race!. Look back at what technology of the recent past has done to the human potential, its pitiable.","@aware2action","6"
"I feel like I''ve seen this before.","@ggghvv9937","6"
"10:21 the prices would come down if the Federal Reserve stopped inflating currency. Corporations would charge less if they didn''t have a mandate to maximize profits.","@caseyczarnomski8054","6"
"Do I need 2 monitors to watch this video?","@AnishShrestha-u3o","4"
"07:25 ah yess, Iluminati mentioned","@ArthurKingw","4"
"So we''re gunna have clean energy driven AI cleaning our asses after we shit out bio engineered food.   Sounds awesome.","@DChappelle27","1"
"I believe that, when those things are definitely a given, the one thing that should also be a given and it''s about to boom is EMOTIONAL INTELLIGENCE. People are starting to realize that all this progress can''t be handled properly if those who apply said progress in their daily lives are not responsible for their emotional state, and therefore their actions. That''s going to give everyone the tools to make conscious and responsible choices, instead of letting those in power make those decisions for them.","@itcamered",""
"I was amused, the production quality of this video really done well. But at 15:08 .. you lost me. Maybe before that but for sure.. that.","@Carlsings","16"
"At about 8:05 you say that Americans had “a wide open continent” to spread through, implying there was no one around. That’s not true of course and it perpetuates a false narrative.  There’s another story to be told about the winners and losers of these epoch shifts. AI and other tech innovations are going to create another set of winners and losers.","@magiktunes","12"
"America''s first Epoch 1787 to 1812 was America starting to take over from Britain.  America''s last Epoch 2025 to 2050 is China starting to take over from America. The US no longer has the capacity to implement the things he is talking about 2025 to 2050","@vaticinus","10"
"Hmmm….”basically” had slavery AND “anybody” who went out West received 150 acres free….not true…those are lies by omission.  I was skeptically, tracking until you said that.  A person with a poor or distorted understanding of the past cannot have a grasp of the present nor the future.","@BlueMarvelMe","7"
"This makes the assumption that our modern technologically integrated civilization will survive to see the next century. On our current trajectory that prospect doesn''t look very likely.","@deepashtray5605","6"
"Absolutely astonishing that he does not mention the Soviet Union or China, actual revolutionary projects whose historically-unprecedented industrial and technological advancement compelled the US and other Western countries to invest more in innovation. It is often breathtaking how blinkered an existence people in the US live.","@pwargan","3"
"Sure, clean energy without digging materials...explain me, are those panels made of air?","@lioninzion","1"
"One important thing this guy is missing: each of these eras only came after a huge, legendary war.   So don’t get too excited Mr. Guy, you should understand the price of history.","@InternetIsntReel",""
"Bullshit, generative ai has no big or life changing application in the real world, similarly to blockchain. ML has some potential, but it''s not chatgpt or whatever.","@twist197","12"
"I want whatever this guy is smoking!","@somjrgebn","9"
"The rich were never taxed at 90%.There were so many loopholes.Nobody paid 90% That is dumb .","@Pctmidlife","4"
"Absolutely crazy how we''re in a middle of a certain age, back then they don''t even know, now with ease of access, we know a bit about our overall progress. I''m afraid and excited to see what''s the future for human race.  Crazy world we live in...","@bowz_Vann",""
"Stop saying “America” when you talk about things there are happen in the WORLD. This is a horrible, ugly habit thats a lot of UNITED STATES citizens have. In fact, this and other EGOTRIPCENTRIC things that are deeply rooted in this culture is EXACTLY what make this ass holes presidents.","@Shivaroz9","26"
"Dangerous ideas from a perverse ideology. No thanks! Glad I listened to understand the extent of the enthusiasm for these ani-human ideas. They necessarily involve the suppression of individuality (unless it is expressed through AI, human innovation and creativity (unless it is manifested through AI),  the balance of the natural world and a new ""master, slave"" relationship IMO.","@dellacrean3296","5"
"10:10 energy cannot be created. This is a very expensive delusion. The 1950’s ended and this rapid expansion of technology produced a monster of media. Reality is not a technological phenomenon","@sparkybob1023","4"
"This is fascinating. And yet I keep thinking of my high school teacher who said - lo those many years ago - our history has focused on technological innovation and neglected the development of human consciousness. What is the human challenge we face as these new technologies become a reality? How do we need to ""grow ourselves up"" to be responsible stewards during this next evolution?","@marthafreymannmiser1363",""
"He is either refusing to accept or utterly failed to see that these supposed 80 year cycles were following a great and costly conflict. So of course there is a boom, lots of babies, lots of jobs, some assholes got deleted, some competition got deleted, including global. Germans were very dominant on the world stage start of both wars in terms of economic presence that reflected on the USA. Also science and technology, necessity is the mother of invention, and war is a renowned necessity driver. There is also the great theft that occurs between warring countries after a conflict. Being the victor, the USA got alot of spoils of many kinds, land, titles, money, influence, global dominance, these things are to be taken into account for the success of a nation.   The liberal, globalist mindset fails to comprehend history outside their own bubble. It''s clear, globalism has failed. You can try to subjugate us as a tyrant but you will need to do so before we rally against you. And what I''m seeing IRL and the news, local and around the world is exactly that. You think of us as wanting tribes, we want community. With distinct cultures, values and appetites. I refuse to become a minority in my home land from people''s flown in enmass from elsewhere without my consent. My land, my history, is my own, it''s not my job to home the dispat populations of the world overcrowded where they come from, that''s their issue to solve not mine. If they want my land they will have to fight me for it if they want to invade","@Kelmorcellus","4"
"Reminds me how about 60 years ago people were absolutely sure that in 2-3 decades they will be flying to other planets on vacation! Our main task for 2025-2026 is not to fall back into stone age, hopeless dreamers!","@Mickey-x4o",""
"Hubris syndrome. When elites have so much power that they take over and dismantle institutions, unless they''re stopper, collapse follows.  Inequality continues rising, the capital-facism duopoly, or corporate-government duopoly, keeps consolidating power.  Meanwhile, overshoot is accelerating, we are wrecking thr planetary boundaries.","@cheweperro","1"
"Great insights from Peter Leyden on the history of the 80 year cycle we seem to keep repeating. Also as many others have mentioned I LOVE BEING ABLE TO USE MY WHOLE MONITOR SCREEN! Tyty.","@ace88205",""
"Edited to perfection, god damn. Sound selection was beautiful, colour, and the motion design... wow :)","@itsjapanic",""
"What the hell does digital democracy even mean?","@BLR1GBattlemaster","1"
"I enjoyed watching the well-made video.  Leyden''s claim may be that ""this changes everything"" (again).  But one thing that is unlikely to change is the truth embedded in Richard Rorty''s observation (and in the comments on this video) that ""All we really know about is how to exchange justification of our beliefs and wishes with other human beings.""","@cbebutuoy",""
"I see it as an opportunity to create wealth.  We’re living an era of mass opportunism.  Instead of looking at the cons, we need to adapt and improve ourselves with the technology","@jesusmadrid9816",""
"Honestly I think these 3 technologies culminate in the era of robotics. It solves all the major issues, simplifying complex locomotion, processing the world around and having the power supply to have autonomy.","@theunstopablebullet",""
"To progress further, humanity needs to be united globally.","@Zeus.KingOGod.JasonPark1",""
"Artificial intelligence doesn''t exist. It''s just an algorithm dictated by a human","@robotekusa","2"
"Gattaca coming at you.","@wufwugyy","1"
"Thank you for your retrospective on the evolution and impacts of technology. My biggest concern with the future is the need for humans to evolve from knowing how to do things, to the wisdom required to become sustainable and in balance with the biosphere we all depend on. In addition, I agree that we need to reimagine our economic system so that it does not consolidate wealth into the hands of a few but rather empowers citizens in coming together in meeting societies basic needs. That system is worker owned cooperatives and coincidentally 2025 is the International Year of Cooperatives championed by a United Nations initiative to highlight the contributions of cooperatives to sustainable development, poverty reduction, and inclusive growth. Historically economic inequality promotes empire collapse while economic fairness promotes peace and innovation.","@MegaSnail1",""
"As a millennial, I’m thrilled to be living through yet another “most pivotal year of our lives” ...","@dino59mob",""
"I feel like 3D printing is coming for this age as well - it''s completely changing manufacturing as we know it. It''s putting the production of goods in the hand of the actual consumer, and democratising the design. I see some bizarre changes coming through this.","@Ludiotic",""
"Just incase people wondering..  Handsets or android or smart phones just comes in early 2010 basically at 08 but good version shall be considered at 10,    And it''s just 10-20 yrs ...we passed from life and here we are more advancing in different techniques technology and services...   It''s basically too much for mind like me","@mattdamon2084","1"
"The revolution of the amount of ads i had to watch in 15 minutes","@teamgamechannel3143","1"
"It’s amazing how excited he is about the one percent not needing us anymore and preparing for our annihilation.","@mayploy6869",""
"Very optimistic regarding the 1% will not give up any power what so ever so easy. Thats why they''re building control systems under the cover of environmental protection","@votex22179","1"
"The commodity aspect of renewable energy isn''t going away because the technologies are made by rare earths and materials that are considered by some as a commodity.","@tetrotull3462",""
"Production quality of this video is simply","@drkrishnakittu",""
"The tax revenue for the infrastructure came from a giant middle class and deficit spending, not from taxing a very few people a lot. Also, the deficit spending that marked that period was just exacerbated in the future decades when the dollar was depegged from gold.","@VicLabs",""
"In regards to clean energy - Don’t have to dig it up? So that lithium just jumps out of the ground does it?","@austen855","2"
"As someone born in the early 90s it''s someone strange to live through the birth of the internet, the birth of the digital camera, the birth of the smartphone, the birth of autonomous vehicles, and potentially the birth and spread of quantum computers and nuclear fission technology.   When I say the birth I don''t mean the actual first but I mean the mass adaptation of these technologies.","@Superbustr",""
"The only part he got wrong:  Digital Democracy == Techno Feudalism","@MeTubesChannel","2"
"This guy is surprisingly optimistic and I appreciate it!","@andrewlewins6482",""
"In theory, the current year will always be the most pivotal groundbreaking year. That’s the nature of riding the curve.","@BohdanChreptak",""
"Shows a timeline of 3 most important tech booms: 1979-1986 hardware: am i a joke to you? 1995-2005 software: excuse me... hello world?","@JonDotExe",""
"Is it me or does anyone else see the world has grown so fast for the last 300 years. Like where was humanity 1000 years ago","@master_braure",""
"Scary thing: there are like 5 other revolutionary tech things happening right now that were not even mentioned","@Nightsd01",""
"I think the reason for all the current chaos is that deep down, people know life is going to dramatically change. Liberals, who enjoy change, are ready to plow on into the future. Conservatives, on the other hand, are scared out of their minds and want to hide in their bunkers. I understand both perspectives and realize both are needed in any society. So things are going to remain chaotic until conservatives become more familiar with, and accepting of, the technology that will radically change our lives.","@drbettyschueler3235",""
"Loved this zoomed-out perspective. Much needed, THANK YOU!","@9sheri9",""
"You know for some reason most people seem to not care about two generations or more behind them at all and it''s crazy. It''s literally violent and crazy out there still today.","@thisotheroneguy6",""
"This way more informative than anything Hank Greene is putting out today.","@cherokeeschill",""
"You mean I get infinite turns playing Connect Four? That really is a… GAME CHANGER!!!","@smileywarhead5178",""
"thank you real human for voicing your video. so refreshing instead of ai voiced stuff. man this is visually amazing!!!","@chibbytang",""
"I love how blissfully unaware this is off the glaring fact that each of those eras was preceded by one thing. War","@weatherwormful",""
"I choose to live in hope. You choose to live in fear.  If I''m wrong, my present life feels great but my future sucks. If you''re right, your present life AND your future sucks.  Choose hope people. Living in fear ruins your entire life.","@HermeticWorlds",""
"Thanks for this nice exploration, hope it does go the right way and not the direction politicians seem to want to push it.","@go4acro",""
"There are decades where nothing happens; and there are weeks where decades happen.","@megsesco7919",""
"I also want to see steel beams and concrete foundations be converted to public property like streets. That way, people can own rooms in densely populated areas.","@eromod",""
"If you could disable the music on these videos: 1. You''ll stop feeling like an idiot for watching them 2. You''ll actually hear through the bullshit 3. You''ll feel perfectly comfortable shutting them down once you had enough","@uberwolf1424",""
